Well,Run,Voltage,Current
A1,2.0,0.409377,3.811483e-06
A1,3.0,0.409377,3.979481e-06
A1,4.0,0.409377,3.975982e-06
A1,5.0,0.40454199999999996,3.951482e-06
A1,6.0,0.409377,3.921732e-06
A1,7.0,0.409377,3.895482e-06
A1,8.0,0.409377,3.870982e-06
A1,9.0,0.409377,3.848232e-06
A1,10.0,0.409377,3.828982e-06
A1,11.0,0.409377,3.587483e-06
A1,12.0,0.409377,3.555984e-06
A1,13.0,0.409377,3.522734e-06
A1,14.0,0.409377,3.501734e-06
A1,15.0,0.409377,3.475484e-06
A1,16.0,0.409377,3.4579839999999997e-06
A1,17.0,0.40454199999999996,3.438734e-06
A1,18.0,0.40454199999999996,3.419484e-06
A1,19.0,0.40454199999999996,3.401985e-06
A1,20.0,0.40454199999999996,3.389735e-06
A10,1.0,0.39487099999999997,3.251485e-06
A10,2.0,0.399706,3.316235e-06
A10,3.0,0.39487099999999997,3.310985e-06
A10,4.0,0.399706,3.307485e-06
A10,5.0,0.399706,3.295235e-06
A10,6.0,0.399706,3.295235e-06
A10,7.0,0.399706,3.281235e-06
A10,8.0,0.40454199999999996,3.279485e-06
A10,9.0,0.40454199999999996,3.274235e-06
A10,10.0,0.40454199999999996,3.2707349999999998e-06
A10,11.0,0.40454199999999996,3.118486e-06
A10,12.0,0.40454199999999996,3.104486e-06
A10,13.0,0.40454199999999996,3.092236e-06
A10,14.0,0.40454199999999996,3.081736e-06
A10,15.0,0.409377,3.076486e-06
A10,16.0,0.409377,3.069486e-06
A10,17.0,0.409377,3.062486e-06
A10,18.0,0.409377,3.057236e-06
A10,19.0,0.409377,3.044986e-06
A10,20.0,0.409377,3.043236e-06
A11,1.0,0.254652,2.01599e-06
A11,2.0,0.254652,6.71997e-07
A11,3.0,0.254652,5.59997e-07
A11,4.0,0.25948699999999997,5.59997e-07
A11,5.0,0.254652,5.59997e-07
A11,6.0,0.25948699999999997,5.59997e-07
A11,7.0,0.25948699999999997,5.59997e-07
A11,8.0,0.254652,5.59997e-07
A11,9.0,0.254652,5.59997e-07
A11,10.0,0.254652,5.59997e-07
A11,11.0,0.25948699999999997,5.59997e-07
A11,12.0,0.25948699999999997,5.59997e-07
A11,13.0,0.264322,5.31997e-07
A11,14.0,0.264322,5.31997e-07
A11,15.0,0.25948699999999997,5.59997e-07
A11,16.0,0.264322,5.31997e-07
A11,17.0,0.25948699999999997,5.59997e-07
A11,18.0,0.25948699999999997,5.03997e-07
A11,19.0,0.264322,5.31997e-07
A11,20.0,0.25948699999999997,5.03997e-07
A12,1.0,0.254652,2.855987e-06
A12,2.0,0.254652,6.15997e-07
A12,3.0,0.254652,5.59997e-07
A12,4.0,0.254652,5.03997e-07
A12,5.0,0.254652,5.03997e-07
A12,6.0,0.254652,5.03997e-07
A12,7.0,0.254652,5.03997e-07
A12,8.0,0.25948699999999997,4.47998e-07
A12,9.0,0.254652,5.03997e-07
A12,10.0,0.254652,5.03997e-07
A12,11.0,0.254652,4.47998e-07
A12,12.0,0.254652,5.03997e-07
A12,13.0,0.25948699999999997,4.47998e-07
A12,14.0,0.254652,5.03997e-07
A12,15.0,0.254652,5.03997e-07
A12,16.0,0.254652,5.03997e-07
A12,17.0,0.254652,5.03997e-07
A12,18.0,0.254652,5.03997e-07
A12,19.0,0.254652,5.03997e-07
A12,20.0,0.254652,4.47998e-07
A2,1.0,0.409377,3.314485e-06
A2,2.0,0.409377,3.447484e-06
A2,3.0,0.409377,3.463234e-06
A2,4.0,0.409377,3.4579839999999997e-06
A2,5.0,0.409377,3.447484e-06
A2,6.0,0.409377,3.438734e-06
A2,7.0,0.409377,3.4282339999999997e-06
A2,8.0,0.409377,3.415984e-06
A2,9.0,0.409377,3.405484e-06
A2,10.0,0.409377,3.398484e-06
A2,11.0,0.41421199999999997,3.235735e-06
A2,12.0,0.41421199999999997,3.216485e-06
A2,13.0,0.41421199999999997,3.202485e-06
A2,14.0,0.41421199999999997,3.186735e-06
A2,15.0,0.409377,3.177985e-06
A2,16.0,0.41421199999999997,3.163985e-06
A2,17.0,0.41421199999999997,3.1534849999999998e-06
A2,18.0,0.409377,3.142986e-06
A2,19.0,0.41421199999999997,3.134236e-06
A2,20.0,0.409377,3.1254849999999998e-06
A3,1.0,0.380366,3.307485e-06
A3,2.0,0.380366,3.391484e-06
A3,3.0,0.38520099999999996,3.405484e-06
A3,4.0,0.38520099999999996,3.401985e-06
A3,5.0,0.38520099999999996,3.391484e-06
A3,6.0,0.38520099999999996,3.380985e-06
A3,7.0,0.390036,3.375735e-06
A3,8.0,0.390036,3.366984e-06
A3,9.0,0.39487099999999997,3.358234e-06
A3,10.0,0.390036,3.349484e-06
A3,11.0,0.39487099999999997,3.193735e-06
A3,12.0,0.399706,3.176235e-06
A3,13.0,0.399706,3.1657359999999998e-06
A3,14.0,0.399706,3.151736e-06
A3,15.0,0.399706,3.142986e-06
A3,16.0,0.399706,3.132486e-06
A3,17.0,0.399706,3.123736e-06
A3,18.0,0.399706,3.113236e-06
A3,19.0,0.399706,3.1097359999999998e-06
A3,20.0,0.399706,3.099236e-06
A4,1.0,0.38520099999999996,3.303985e-06
A4,2.0,0.390036,3.422984e-06
A4,3.0,0.390036,3.450984e-06
A4,4.0,0.39487099999999997,3.443984e-06
A4,5.0,0.39487099999999997,3.440484e-06
A4,6.0,0.39487099999999997,3.4317339999999998e-06
A4,7.0,0.39487099999999997,3.421234e-06
A4,8.0,0.39487099999999997,3.414234e-06
A4,9.0,0.399706,3.408984e-06
A4,10.0,0.399706,3.405484e-06
A4,11.0,0.399706,3.246235e-06
A4,12.0,0.399706,3.225235e-06
A4,13.0,0.399706,3.2129849999999998e-06
A4,14.0,0.40454199999999996,3.200735e-06
A4,15.0,0.40454199999999996,3.188485e-06
A4,16.0,0.40454199999999996,3.179735e-06
A4,17.0,0.40454199999999996,3.169235e-06
A4,18.0,0.40454199999999996,3.163985e-06
