Well,Run,Voltage,Cal 1,Cal2,Cal3
A1,1,0.390036,3.11E-06,33599856,3.64E-06
A1,2,0.394871,3.04E-06,27999880,3.16E-06
A1,3,0.394871,3.02E-06,8.32E-06,3.17E-06
A1,4,0.399706,3.01E-06,5.04E-06,3.17E-06
A1,5,0.399706,3.01E-06,4.65E-06,3.16E-06
A1,6,0.399706,3.00E-06,3.92E-06,3.15E-06
A1,7,0.404542,3.00E-06,3.16E-06,3.14E-06
A1,8,0.404542,2.99E-06,3.21E-06,3.13E-06
A1,9,0.404542,2.99E-06,3.22E-06,3.12E-06
A1,10,0.404542,2.99E-06,3.21E-06,3.12E-06
A1,11,0.409377,1.70E-06,1.83E-06,1.82E-06
A1,12,0.409377,1.69E-06,1.82E-06,1.81E-06
A1,13,0.409377,1.68E-06,1.81E-06,1.79E-06
A1,14,0.409377,1.68E-06,1.80E-06,1.79E-06
A1,15,0.414212,1.67E-06,1.78E-06,1.79E-06
A1,16,0.414212,1.68E-06,1.78E-06,1.78E-06
A1,17,0.414212,1.67E-06,1.77E-06,1.78E-06
A1,18,0.414212,1.67E-06,1.76E-06,1.77E-06
A1,19,0.414212,1.67E-06,1.75E-06,1.77E-06
A1,20,0.414212,1.67E-06,1.74E-06,1.77E-06
A1,21,0.419047,1.03E-06,1.06E-06,1.14E-06
A1,22,0.419047,1.01E-06,1.05E-06,1.12E-06
A1,23,0.419047,1.01E-06,1.05E-06,1.12E-06
A1,24,0.419047,1.01E-06,1.04E-06,1.11E-06
A1,25,0.419047,1.01E-06,1.03E-06,1.11E-06
A1,26,0.419047,1.01E-06,1.03E-06,1.11E-06
A1,27,0.419047,1.01E-06,1.02E-06,1.11E-06
A1,28,0.423882,1.00E-06,1.02E-06,1.11E-06
A1,29,0.419047,1.00E-06,1.01E-06,1.10E-06
A1,30,0.419047,1.00E-06,1.01E-06,1.10E-06
A1,31,0.423882,6.83E-07,6.85E-07,8.01E-07
A1,32,0.423882,6.67E-07,6.71E-07,7.85E-07
A1,33,0.423882,6.67E-07,6.66E-07,7.81E-07
A1,34,0.423882,6.65E-07,6.60E-07,7.79E-07
A1,35,0.428717,6.63E-07,6.56E-07,7.76E-07
A1,36,0.428717,6.64E-07,6.54E-07,7.76E-07
A1,37,0.423882,6.64E-07,6.50E-07,7.76E-07
A1,38,0.428717,6.64E-07,6.49E-07,7.74E-07
A1,39,0.428717,6.64E-07,6.45E-07,7.75E-07
A1,40,0.423882,6.63E-07,6.43E-07,7.74E-07
A1,41,0.254652,3.36E-07,5.60E-07,4.83E-07
A10,1,0.385201,3.29E-06,5.43E-06,2.99E-06
A10,2,0.390036,3.23E-06,3.20E-06,2.86E-06
A10,3,0.390036,3.21E-06,3.28E-06,2.83E-06
A10,4,0.390036,3.19E-06,3.35E-06,2.81E-06
A10,5,0.394871,3.17E-06,3.36E-06,2.80E-06
A10,6,0.394871,3.17E-06,3.36E-06,2.78E-06
A10,7,0.394871,3.16E-06,3.35E-06,2.77E-06
A10,8,0.399706,3.15E-06,3.34E-06,2.76E-06
A10,9,0.399706,3.14E-06,3.34E-06,2.75E-06
A10,10,0.399706,3.14E-06,3.33E-06,2.74E-06
A10,11,0.404542,1.74E-06,1.85E-06,1.59E-06
A10,12,0.404542,1.72E-06,1.84E-06,1.57E-06
A10,13,0.404542,1.72E-06,1.84E-06,1.57E-06
A10,14,0.409377,1.71E-06,1.83E-06,1.56E-06
A10,15,0.409377,1.71E-06,1.82E-06,1.56E-06
A10,16,0.409377,1.71E-06,1.82E-06,1.56E-06
A10,17,0.409377,1.71E-06,1.81E-06,1.55E-06
A10,18,0.409377,1.70E-06,1.81E-06,1.55E-06
A10,19,0.409377,1.70E-06,1.81E-06,1.55E-06
A10,20,0.409377,1.70E-06,1.80E-06,1.54E-06
A10,21,0.414212,1.03E-06,1.08E-06,9.87E-07
A10,22,0.419047,1.02E-06,1.07E-06,9.69E-07
A10,23,0.419047,1.01E-06,1.07E-06,9.66E-07
A10,24,0.414212,1.01E-06,1.07E-06,9.63E-07
A10,25,0.419047,1.01E-06,1.06E-06,9.61E-07
A10,26,0.414212,1.00E-06,1.06E-06,9.61E-07
A10,27,0.419047,1.00E-06,1.06E-06,9.59E-07
A10,28,0.423882,1.00E-06,1.06E-06,9.56E-07
A10,29,0.419047,1.00E-06,1.05E-06,9.57E-07
A10,30,0.419047,1.00E-06,1.05E-06,9.55E-07
A10,31,0.423882,6.77E-07,7.09E-07,6.89E-07
A10,32,0.423882,6.62E-07,6.97E-07,6.69E-07
A10,33,0.428717,6.60E-07,6.94E-07,6.67E-07
A10,34,0.423882,6.63E-07,6.92E-07,6.64E-07
A10,35,0.423882,6.62E-07,6.90E-07,6.63E-07
A10,36,0.428717,6.61E-07,6.89E-07,6.64E-07
A10,37,0.423882,6.60E-07,6.86E-07,6.63E-07
A10,38,0.428717,6.60E-07,6.85E-07,6.62E-07
A10,39,0.423882,6.59E-07,6.84E-07,6.64E-07
A10,40,0.428717,6.59E-07,6.83E-07,6.62E-07
A10,41,0.341684,2.92E-07,3.39E-07,3.97E-07
A11,1,0.380366,3.33E-06,3.47E-06,4.37E-06
A11,2,0.385201,3.33E-06,3.09E-06,2.96E-06
A11,3,0.390036,3.31E-06,3.15E-06,2.93E-06
A11,4,0.394871,3.29E-06,3.15E-06,2.91E-06
A11,5,0.394871,3.28E-06,3.15E-06,2.89E-06
A11,6,0.399706,3.27E-06,3.14E-06,2.88E-06
A11,7,0.399706,3.27E-06,3.13E-06,2.86E-06
A11,8,0.404542,3.26E-06,3.12E-06,2.86E-06
A11,9,0.404542,3.25E-06,3.11E-06,2.84E-06
A11,10,0.404542,3.25E-06,3.10E-06,2.83E-06
A11,11,0.404542,1.81E-06,1.79E-06,1.63E-06
A11,12,0.409377,1.80E-06,1.77E-06,1.60E-06
A11,13,0.409377,1.80E-06,1.76E-06,1.60E-06
A11,14,0.409377,1.79E-06,1.75E-06,1.59E-06
A11,15,0.409377,1.78E-06,1.75E-06,1.59E-06
A11,16,0.414212,1.78E-06,1.75E-06,1.58E-06
A11,17,0.409377,1.78E-06,1.74E-06,1.58E-06
A11,18,0.409377,1.78E-06,1.73E-06,1.57E-06
A11,19,0.414212,1.77E-06,1.73E-06,1.57E-06
A11,20,0.419047,1.77E-06,1.73E-06,1.57E-06
A11,21,0.419047,1.09E-06,1.10E-06,1.00E-06
A11,22,0.419047,1.07E-06,1.08E-06,9.85E-07
A11,23,0.419047,1.07E-06,1.08E-06,9.81E-07
A11,24,0.423882,1.07E-06,1.07E-06,9.79E-07
A11,25,0.419047,1.07E-06,1.07E-06,9.77E-07
A11,26,0.419047,1.06E-06,1.07E-06,9.75E-07
A11,27,0.419047,1.06E-06,1.06E-06,9.77E-07
A11,28,0.419047,1.06E-06,1.06E-06,9.74E-07
A11,29,0.419047,1.06E-06,1.06E-06,9.73E-07
A11,30,0.423882,1.06E-06,1.06E-06,9.72E-07
A11,31,0.423882,7.34E-07,7.60E-07,7.00E-07
A11,32,0.423882,7.21E-07,7.45E-07,6.81E-07
A11,33,0.428717,7.17E-07,7.41E-07,6.80E-07
A11,34,0.428717,7.17E-07,7.38E-07,6.77E-07
A11,35,0.428717,7.16E-07,7.35E-07,6.77E-07
A11,36,0.433553,7.14E-07,7.34E-07,6.76E-07
A11,37,0.428717,7.13E-07,7.32E-07,6.76E-07
A11,38,0.428717,7.13E-07,7.29E-07,6.75E-07
A11,39,0.428717,7.13E-07,7.28E-07,6.75E-07
A11,40,0.433553,7.12E-07,7.27E-07,6.75E-07
A11,41,0.317509,3.32E-07,4.65E-07,5.41E-07
A12,1,0.254652,3.75E-06,5.12E-06,4.54E-06
A12,2,0.370695,3.65E-06,5.82E-06,3.16E-06
A12,3,0.370695,3.65E-06,7.78E-06,3.14E-06
A12,4,0.375531,3.64E-06,7.73E-06,3.11E-06
A12,5,0.380366,3.63E-06,7.62E-06,3.09E-06
A12,6,0.380366,3.62E-06,4.37E-06,3.08E-06
A12,7,0.380366,3.60E-06,3.36E-06,3.06E-06
A12,8,0.385201,3.59E-06,3.36E-06,3.05E-06
A12,9,0.385201,3.57E-06,4.47E-06,3.04E-06
A12,10,0.385201,3.56E-06,4.16E-06,3.03E-06
A12,11,0.390036,2.05E-06,2.26E-06,1.75E-06
A12,12,0.394871,2.04E-06,3.30E-06,1.73E-06
A12,13,0.399706,2.03E-06,3.30E-06,1.72E-06
A12,14,0.394871,2.02E-06,3.30E-06,1.71E-06
A12,15,0.399706,2.02E-06,3.30E-06,1.71E-06
A12,16,0.399706,2.01E-06,2.74E-06,1.70E-06
A12,17,0.399706,2.01E-06,2.35E-06,1.70E-06
A12,18,0.399706,2.00E-06,2.18E-06,1.70E-06
A12,19,0.399706,2.00E-06,2.02E-06,1.69E-06
A12,20,0.404542,1.99E-06,1.90E-06,1.69E-06
A12,21,0.409377,1.24E-06,1.90E-06,1.06E-06
A12,22,0.409377,1.23E-06,1.68E-06,1.04E-06
A12,23,0.409377,1.22E-06,1.62E-06,1.03E-06
A12,24,0.409377,1.22E-06,1.57E-06,1.03E-06
A12,25,0.409377,1.21E-06,1.51E-06,1.03E-06
A12,26,0.409377,1.21E-06,1.51E-06,1.03E-06
A12,27,0.414212,1.21E-06,1.46E-06,1.02E-06
A12,28,0.409377,1.21E-06,1.40E-06,1.03E-06
A12,29,0.409377,1.20E-06,1.40E-06,1.02E-06
A12,30,0.409377,1.20E-06,1.40E-06,1.02E-06
A12,31,0.414212,8.37E-07,1.46E-06,7.26E-07
A12,32,0.419047,8.21E-07,1.23E-06,7.09E-07
A12,33,0.419047,8.15E-07,1.23E-06,7.07E-07
A12,34,0.414212,8.15E-07,1.23E-06,7.03E-07
A12,35,0.414212,8.13E-07,1.23E-06,7.03E-07
A12,36,0.414212,8.10E-07,1.23E-06,7.01E-07
A12,37,0.419047,8.10E-07,1.23E-06,7.00E-07
A12,38,0.419047,8.06E-07,1.18E-06,7.01E-07
A12,39,0.419047,8.05E-07,1.18E-06,7.01E-07
A12,40,0.419047,8.05E-07,1.18E-06,7.02E-07
A12,41,0.491575,5.10E-07,1.51E-06,4.02E-07
A2,1,0.390036,3.27E-06,3.12E-06,3.98E-06
A2,2,0.394871,3.26E-06,3.25E-06,2.93E-06
A2,3,0.394871,3.25E-06,3.30E-06,2.92E-06
A2,4,0.399706,3.24E-06,3.30E-06,2.90E-06
A2,5,0.399706,3.24E-06,3.30E-06,2.89E-06
A2,6,0.399706,3.23E-06,3.30E-06,2.87E-06
A2,7,0.399706,3.22E-06,3.28E-06,2.86E-06
A2,8,0.404542,3.22E-06,3.28E-06,2.85E-06
A2,9,0.404542,3.21E-06,3.27E-06,2.84E-06
A2,10,0.404542,3.21E-06,3.27E-06,2.83E-06
A2,11,0.404542,1.84E-06,1.82E-06,1.66E-06
A2,12,0.404542,1.82E-06,1.82E-06,1.64E-06
A2,13,0.409377,1.81E-06,1.81E-06,1.63E-06
A2,14,0.414212,1.81E-06,1.81E-06,1.63E-06
A2,15,0.414212,1.81E-06,1.81E-06,1.62E-06
A2,16,0.409377,1.81E-06,1.80E-06,1.62E-06
A2,17,0.409377,1.80E-06,1.80E-06,1.62E-06
A2,18,0.409377,1.80E-06,1.80E-06,1.61E-06
A2,19,0.409377,1.80E-06,1.79E-06,1.61E-06
A2,20,0.414212,1.80E-06,1.79E-06,1.61E-06
A2,21,0.414212,1.10E-06,1.08E-06,1.05E-06
A2,22,0.419047,1.09E-06,1.07E-06,1.04E-06
A2,23,0.419047,1.09E-06,1.06E-06,1.03E-06
A2,24,0.414212,1.09E-06,1.06E-06,1.03E-06
A2,25,0.419047,1.08E-06,1.06E-06,1.03E-06
A2,26,0.419047,1.08E-06,1.06E-06,1.03E-06
A2,27,0.414212,1.08E-06,1.05E-06,1.02E-06
A2,28,0.419047,1.08E-06,1.05E-06,1.02E-06
A2,29,0.419047,1.08E-06,1.05E-06,1.02E-06
A2,30,0.419047,1.07E-06,1.05E-06,1.02E-06
A2,31,0.423882,7.45E-07,7.08E-07,7.52E-07
A2,32,0.423882,7.30E-07,6.98E-07,7.35E-07
A2,33,0.423882,7.26E-07,6.92E-07,7.28E-07
A2,34,0.423882,7.26E-07,6.92E-07,7.29E-07
A2,35,0.423882,7.26E-07,6.88E-07,7.27E-07
A2,36,0.423882,7.23E-07,6.87E-07,7.26E-07
A2,37,0.423882,7.21E-07,6.87E-07,7.25E-07
A2,38,0.428717,7.21E-07,6.85E-07,7.26E-07
A2,39,0.428717,7.21E-07,6.84E-07,7.24E-07
A2,40,0.419047,7.20E-07,6.82E-07,7.24E-07
A2,41,0.361025,3.67E-07,3.82E-07,4.75E-07
A3,1,0.36586,3.38E-06,4.31E-06,3.20E-06
A3,2,0.370695,3.37E-06,3.21E-06,3.22E-06
A3,3,0.375531,3.36E-06,3.27E-06,3.23E-06
A3,4,0.375531,3.34E-06,3.29E-06,3.21E-06
A3,5,0.380366,3.34E-06,3.29E-06,3.19E-06
A3,6,0.380366,3.33E-06,3.29E-06,3.17E-06
A3,7,0.385201,3.31E-06,3.29E-06,3.17E-06
A3,8,0.385201,3.31E-06,3.28E-06,3.15E-06
A3,9,0.385201,3.30E-06,3.28E-06,3.14E-06
A3,10,0.390036,3.29E-06,3.27E-06,3.14E-06
A3,11,0.390036,1.85E-06,1.83E-06,1.81E-06
A3,12,0.394871,1.84E-06,1.82E-06,1.79E-06
A3,13,0.394871,1.83E-06,1.81E-06,1.79E-06
A3,14,0.394871,1.83E-06,1.81E-06,1.78E-06
A3,15,0.394871,1.82E-06,1.81E-06,1.77E-06
A3,16,0.399706,1.82E-06,1.81E-06,1.77E-06
A3,17,0.399706,1.82E-06,1.81E-06,1.77E-06
