Well ID,Well,Parallel Intensity,Perpendicular Intensity,Polarization
SPL1,A1,76,35,371
SPL2,B1,53,28,304
SPL3,C1,77,40,315
SPL4,D1,53,29,293
SPL5,E1,54,34,224
SPL6,F1,54,30,282
SPL7,G1,51,31,245
SPL8,H1,52,28,306
SPL9,I1,16,10,237
SPL10,J1,18,7,426
SPL11,K1,15,15,-4
SPL12,L1,16,9,303
SPL13,M1,16,7,377
SPL14,N1,16,10,237
SPL15,O1,16,9,269
SPL16,P1,17,9,331
SPL17,A2,108,85,120
SPL18,B2,181,153,85
SPL19,C2,110,85,129
SPL20,D2,120,91,138
SPL21,E2,105,81,129
SPL22,F2,160,99,237
SPL23,G2,106,84,118
SPL24,H2,106,82,130
SPL25,I2,70,61,73
SPL26,J2,70,63,57
SPL27,K2,71,63,58
SPL28,L2,72,62,76
SPL29,M2,65,60,41
SPL30,N2,74,63,79
SPL31,O2,75,64,75
SPL32,P2,71,61,80
SPL33,A3,1111,1064,22
SPL34,B3,1155,1112,19
SPL35,C3,1075,1028,22
SPL36,D3,1086,1046,19
SPL37,E3,1065,1023,20
SPL38,F3,1100,1057,20
SPL39,G3,1075,1029,22
SPL40,H3,1141,1098,19
SPL41,I3,1177,1147,13
SPL42,J3,1111,1082,13
SPL43,K3,1170,1140,13
SPL44,L3,1066,1036,14
SPL45,M3,1124,1091,15
SPL46,N3,1032,1002,15
SPL47,O3,1141,1109,14
SPL48,P3,1052,1031,10
SPL49,A4,5350,5134,21
SPL50,B4,5194,4991,20
SPL51,C4,5073,4874,20
SPL52,D4,5274,5063,20
SPL53,E4,5190,4997,19
SPL54,F4,5107,4909,20
SPL55,G4,5141,4949,19
SPL56,H4,4878,4704,18
SPL57,I4,5142,4967,17
SPL58,J4,4841,4674,18
SPL59,K4,4976,4828,15
SPL60,L4,4444,4314,15
SPL61,M4,5017,4881,14
SPL62,N4,4561,4438,14
SPL63,O4,5295,5165,12
SPL64,P4,5417,5302,11
SPL65,A5,15,8,310
SPL66,B5,15,7,349
SPL67,C5,14,8,279
SPL68,D5,14,5,453
SPL69,E5,13,5,477
SPL70,F5,15,7,349
SPL71,G5,14,9,241
SPL72,H5,15,7,390
SPL73,I5,15,9,274
SPL74,J5,14,8,279
SPL75,K5,15,10,206
SPL76,L5,14,9,241
SPL77,M5,14,7,318
SPL78,N5,14,9,241
SPL79,O5,14,8,279
SPL80,P5,13,9,206
SPL81,A6,15,10,206
SPL82,B6,16,7,417
SPL83,C6,14,7,318
SPL84,D6,13,8,244
SPL85,E6,14,7,318
SPL86,F6,13,5,477
SPL87,G6,14,9,206
SPL88,H6,16,6,460
SPL89,I6,15,7,390
SPL90,J6,14,9,241
SPL91,K6,15,6,434
SPL92,L6,15,7,349
SPL93,M6,15,7,390
SPL94,N6,16,7,377
SPL95,O6,15,9,239
SPL96,P6,14,9,241
SPL97,A7,15,9,239
SPL98,B7,14,9,241
SPL99,C7,14,8,279
SPL100,D7,15,4,583
SPL101,E7,15,5,480
SPL102,F7,14,5,505
SPL103,G7,13,9,171
SPL104,H7,14,9,206
SPL105,I7,15,9,274
SPL106,J7,14,9,206
SPL107,K7,14,7,361
SPL108,L7,17,10,265
SPL109,M7,14,9,206
SPL110,N7,15,7,349
SPL111,O7,15,7,349
SPL112,P7,16,8,339
SPL113,A8,14,8,279
SPL114,B8,13,9,206
SPL115,C8,14,6,405
SPL116,D8,14,8,279
SPL117,E8,15,8,310
SPL118,F8,14,7,318
SPL119,G8,13,9,171
SPL120,H8,13,6,374
SPL121,I8,15,8,310
SPL122,J8,14,6,405
SPL123,K8,14,11,142
SPL124,L8,14,5,453
SPL125,M8,14,8,279
SPL126,N8,16,10,237
SPL127,O8,14,7,318
SPL128,P8,15,8,310
SPL129,A9,14,10,173
SPL130,B9,14,9,241
SPL131,C9,13,7,328
SPL132,D9,13,10,137
SPL133,E9,15,9,274
