well	par	per	pol	flo
A1	76	35	371	111
B1	53	28	304	81
C1	77	40	315	117
D1	53	29	293	82
E1	54	34	224	88
F1	54	30	282	84
G1	51	31	245	82
H1	52	28	306	80
I1	16	10	237	26
J1	18	7	426	25
K1	15	15	-4	30
L1	16	9	303	25
M1	16	7	377	23
N1	16	10	237	26
O1	16	9	269	25
P1	17	9	331	26
A2	108	85	120	193
B2	181	153	85	334
C2	110	85	129	195
D2	120	91	138	211
E2	105	81	129	186
F2	160	99	237	259
G2	106	84	118	190
H2	106	82	130	188
I2	70	61	73	131
J2	70	63	57	133
K2	71	63	58	134
L2	72	62	76	134
M2	65	60	41	125
N2	74	63	79	137
O2	75	64	75	139
P2	71	61	80	132
A3	1111	1064	22	2175
B3	1155	1112	19	2267
C3	1075	1028	22	2103
D3	1086	1046	19	2132
E3	1065	1023	20	2088
F3	1100	1057	20	2157
G3	1075	1029	22	2104
H3	1141	1098	19	2239
I3	1177	1147	13	2324
J3	1111	1082	13	2193
K3	1170	1140	13	2310
L3	1066	1036	14	2102
M3	1124	1091	15	2215
N3	1032	1002	15	2034
O3	1141	1109	14	2250
P3	1052	1031	10	2083
A4	5350	5134	21	10484
B4	5194	4991	20	10185
C4	5073	4874	20	9947
D4	5274	5063	20	10337
E4	5190	4997	19	10187
F4	5107	4909	20	10016
G4	5141	4949	19	10090
H4	4878	4704	18	9582
I4	5142	4967	17	10109
J4	4841	4674	18	9515
K4	4976	4828	15	9804
L4	4444	4314	15	8758
M4	5017	4881	14	9898
N4	4561	4438	14	8999
O4	5295	5165	12	10460
P4	5417	5302	11	10719
A5	15	8	310	23
B5	15	7	349	22
C5	14	8	279	22
D5	14	5	453	19
E5	13	5	477	18
F5	15	7	349	22
G5	14	9	241	23
H5	15	7	390	22
I5	15	9	274	24
J5	14	8	279	22
K5	15	10	206	25
L5	14	9	241	23
M5	14	7	318	21
N5	14	9	241	23
O5	14	8	279	22
P5	13	9	206	22
A6	15	10	206	25
B6	16	7	417	23
C6	14	7	318	21
D6	13	8	244	21
E6	14	7	318	21
F6	13	5	477	18
G6	14	9	206	23
H6	16	6	460	22
I6	15	7	390	22
J6	14	9	241	23
K6	15	6	434	21
L6	15	7	349	22
M6	15	7	390	22
N6	16	7	377	23
O6	15	9	239	24
P6	14	9	241	23
A7	15	9	239	24
B7	14	9	241	23
C7	14	8	279	22
D7	15	4	583	19
E7	15	5	480	20
F7	14	5	505	19
G7	13	9	171	22
H7	14	9	206	23
I7	15	9	274	24
J7	14	9	206	23
K7	14	7	361	21
L7	17	10	265	27
M7	14	9	206	23
N7	15	7	349	22
O7	15	7	349	22
P7	16	8	339	24
A8	14	8	279	22
B8	13	9	206	22
C8	14	6	405	20
D8	14	8	279	22
E8	15	8	310	23
F8	14	7	318	21
G8	13	9	171	22
H8	13	6	374	19
