Well,Enzyme Concentration (uM),Buffer pH,Uric Acid,Inhibitor,Parallel Intensity,Perpendicular Intensity,Polarization,Parallel Intensity,Perpendicular Intensity,Polarization,Parallel Intensity,Perpendicular Intensity,Polarization,A292,Parallel,Perpendicular,Enzyme Concentration (uM),Buffer pH,Uric Acid,Inhibitor,Total F,Polarization,A292 norm
A11,0,4,No,methyl,48,33,187,48,32,196,47,38,112,0.352,21.66666667,18.08333333,0,4,False,methyl,39.8,90.1,0.012
A9,0,4,No,methyl,48,36,140,48,39,106,49,36,159,0.342,22.33333333,20.75,0,4,False,methyl,43.1,36.8,0.002
C11,0,4,No,methyl,45,38,82,45,34,136,45,32,175,0.339,19,18.41666667,0,4,False,methyl,37.4,15.6,-0.001
C9,0,4,No,methyl,49,38,133,49,36,159,49,34,187,0.34,23,19.75,0,4,False,methyl,42.8,76,0
I11,0.1,4,No,methyl,47,30,217,47,30,227,46,31,196,0.344,14,12.83333333,0.1,4,False,methyl,26.8,43.5,0.004
I9,0.1,4,No,methyl,47,31,206,47,30,217,47,31,206,0.343,14.33333333,13.16666667,0.1,4,False,methyl,27.5,42.4,0.003
K11,0.1,4,No,methyl,47,30,217,48,32,206,48,30,227,0.334,15,13.16666667,0.1,4,False,methyl,28.2,65.1,-0.006
K9,0.1,4,No,methyl,48,30,227,48,32,206,49,28,268,0.337,15.66666667,12.5,0.1,4,False,methyl,28.2,112.4,-0.003
E11,1,4,No,methyl,73,43,254,75,46,239,76,43,273,0.349,19.41666667,16.58333333,1,4,False,methyl,36,78.7,0.009
E9,1,4,No,methyl,75,42,281,74,43,267,74,43,260,0.334,19.08333333,15.25,1,4,False,methyl,34.3,111.7,-0.006
G11,1,4,No,methyl,72,43,248,73,39,306,69,43,227,0.33,16.08333333,14.25,1,4,False,methyl,30.3,60.4,-0.01
G9,1,4,No,methyl,68,38,281,67,41,236,67,42,228,0.337,12.08333333,12.91666667,1,4,False,methyl,25,-33.3,-0.003
A10,0,4,No,new,4143,3999,18,4150,4009,17,4126,3992,16,0.345,4113.666667,3983.75,0,4,False,new,8097.4,16,0.003
A12,0,4,No,new,3859,3714,19,3862,3733,17,3868,3749,16,0.356,3837,3715.75,0,4,False,new,7552.8,16.1,0.014
C10,0,4,No,new,3800,3668,18,3763,3640,17,3773,3648,17,0.34,3752.666667,3635.75,0,4,False,new,7388.4,15.8,-0.002
C12,0,4,No,new,3867,3723,19,3845,3710,18,3828,3701,17,0.343,3820.666667,3695.083333,0,4,False,new,7515.8,16.7,0.001
I10,0.1,4,No,new,3702,3577,17,3670,3547,17,3669,3541,18,0.346,3647.666667,3537.5,0.1,4,False,new,7185.2,15.3,0.004
I12,0.1,4,No,new,3457,3328,19,3456,3335,18,3476,3347,19,0.343,3430.333333,3319.166667,0.1,4,False,new,6749.5,16.5,0.001
K10,0.1,4,No,new,3616,3503,16,3603,3486,16,3584,3468,16,0.333,3568.333333,3468.166667,0.1,4,False,new,7036.5,14.2,-0.009
K12,0.1,4,No,new,3638,3520,16,3617,3510,15,3643,3521,17,0.336,3600,3499.5,0.1,4,False,new,7099.5,14.2,-0.006
E10,1,4,No,new,3673,3537,19,3640,3512,18,3621,3489,19,0.34,3589.416667,3485.25,1,4,False,new,7074.7,14.7,-0.002
E12,1,4,No,new,3522,3393,19,3475,3360,17,3483,3364,17,0.341,3438.083333,3344.916667,1,4,False,new,6783,13.7,-0.001
G10,1,4,No,new,3770,3643,17,3734,3601,18,3702,3580,17,0.341,3680.083333,3580.583333,1,4,False,new,7260.7,13.7,-0.001
G12,1,4,No,new,3684,3545,19,3661,3533,18,3654,3520,19,0.339,3611.083333,3505.25,1,4,False,new,7116.3,14.9,-0.003
B10,0,4,No,none,23,16,166,22,12,300,23,14,227,0.059,-3.333333333,-2.25,0,4,False,none,-5.6,194,-0.002
B12,0,4,No,none,23,14,249,23,16,166,23,15,206,0.061,-3,-1.25,0,4,False,none,-4.3,411.8,0
D10,0,4,No,none,33,20,251,34,20,250,34,20,265,0.058,7.666666667,3.75,0,4,False,none,11.4,343.1,-0.003
D12,0,4,No,none,24,15,227,23,16,186,27,17,224,0.059,-1.333333333,-0.25,0,4,False,none,-1.6,684.2,-0.002
J10,0.1,4,No,none,32,18,286,35,22,234,35,18,310,0.062,1.333333333,1.833333333,0.1,4,False,none,3.2,-157.9,0.001
J12,0.1,4,No,none,38,19,331,36,18,339,35,17,343,0.062,3.666666667,0.5,0.1,4,False,none,4.2,760,0.001
L10,0.1,4,No,none,29,15,314,28,18,224,28,14,339,0.061,-4.333333333,-1.833333333,0.1,4,False,none,-6.2,405.4,0
L12,0.1,4,No,none,33,17,317,31,16,307,32,18,269,0.06,-0.666666667,-0.5,0.1,4,False,none,-1.2,142.9,-0.001
F10,1,4,No,none,44,22,326,46,19,414,47,24,330,0.063,-9.583333333,-5.75,1,4,False,none,-15.3,250,0.002
F12,1,4,No,none,48,24,327,64,32,330,65,34,310,0.063,3.75,2.583333333,1,4,False,none,6.3,184.2,0.002
H10,1,4,No,none,64,34,312,60,28,359,62,32,316,0.062,6.75,3.916666667,1,4,False,none,10.7,265.6,0.001
H12,1,4,No,none,55,29,310,53,26,336,55,25,375,0.062,-0.916666667,-0.75,1,4,False,none,-1.7,100,0.001
B11,0,4,No,old,13338,12667,26,13261,12616,25,13257,12578,26,0.321,13259.33333,12604.08333,0,4,False,old,25863.4,25.3,0.006
B9,0,4,No,old,13028,12410,24,12970,12355,24,12951,12322,25,0.322,12957,12346.08333,0,4,False,old,25303.1,24.1,0.007
D11,0,4,No,old,13163,12527,25,13111,12480,25,13015,12378,25,0.319,13070.33333,12445.41667,0,4,False,old,25515.8,24.5,0.004
D9,0,4,No,old,13250,12604,25,13180,12533,25,13141,12493,25,0.314,13164.33333,12527.08333,0,4,False,old,25691.4,24.8,-0.001
J11,0.1,4,No,old,12000,11424,25,11971,11382,25,11933,11363,24,0.312,11935.33333,11372.16667,0.1,4,False,old,23307.5,24.2,-0.003
J9,0.1,4,No,old,12386,11778,25,12295,11692,25,12335,11732,25,0.319,12306,11716.5,0.1,4,False,old,24022.5,24.5,0.004
L11,0.1,4,No,old,12231,11648,24,12197,11631,24,12157,11575,25,0.312,12162.33333,11600.5,0.1,4,False,old,23762.8,23.6,-0.003
L9,0.1,4,No,old,12294,11656,27,12231,11606,26,12209,11581,26,0.32,12212,11596.83333,0.1,4,False,old,23808.8,25.8,0.005
F11,1,4,No,old,12776,12143,25,12625,12021,25,12466,11887,24,0.311,12567.08333,11989.58333,1,4,False,old,24556.7,23.5,-0.004
F9,1,4,No,old,11721,11148,25,11656,11081,25,11666,11106,25,0.308,11625.75,11084.25,1,4,False,old,22710,23.8,-0.007
H11,1,4,No,old,12444,11801,27,12322,11701,26,12255,11648,25,0.311,12285.08333,11689.25,1,4,False,old,23974.3,24.9,-0.004
H9,1,4,No,old,12769,12161,24,12682,12080,24,12577,11980,24,0.312,12620.75,12046.25,1,4,False,old,24667,23.3,-0.003
A13,0,7.4,No,methyl,2214,2175,9,2222,2185,8,2211,2171,9,0.192,2197.958333,2166.666667,0,7.4,False,methyl,4364.6,7.2,-0.004
A15,0,7.4,No,methyl,2202,2161,9,2198,2160,9,2168,2133,8,0.194,2171.625,2141,0,7.4,False,methyl,4312.6,7.1,-0.002
A17,0,7.4,No,methyl,2128,2088,9,2124,2098,6,2104,2063,10,0.192,2100.958333,2072.666667,0,7.4,False,methyl,4173.6,6.8,-0.004
A19,0,7.4,No,methyl,2128,2092,9,2127,2091,9,2128,2100,7,0.191,2109.958333,2084,0,7.4,False,methyl,4194,6.2,-0.005
C13,0,7.4,No,methyl,1821,1785,10,1799,1772,8,1914,1885,8,0.197,1826.958333,1803.666667,0,7.4,False,methyl,3630.6,6.4,0.001
C15,0,7.4,No,methyl,2058,2018,10,2021,1988,8,2012,1975,9,0.2,2012.625,1983.333333,0,7.4,False,methyl,3996,7.3,0.004
C17,0,7.4,No,methyl,2020,1985,9,2024,1990,8,2001,1973,7,0.193,1997.291667,1972.333333,0,7.4,False,methyl,3969.6,6.3,-0.003
C19,0,7.4,No,methyl,2057,2015,10,2052,2004,12,2036,1996,10,0.193,2030.625,1994.666667,0,7.4,False,methyl,4025.3,8.9,-0.003
I13,0.1,7.4,No,methyl,1973,1937,9,1971,1935,9,1950,1923,7,0.205,1946.791667,1921.5,0.1,7.4,False,methyl,3868.3,6.5,0.009
I15,0.1,7.4,No,methyl,1913,1867,12,1898,1873,7,1903,1858,12,0.196,1886.791667,1855.833333,0.1,7.4,False,methyl,3742.6,8.3,0
I17,0.1,7.4,No,methyl,1856,1813,12,1845,1810,10,1851,1808,12,0.192,1832.791667,1800.166667,0.1,7.4,False,methyl,3633,9,-0.004
I19,0.1,7.4,No,methyl,1863,1824,11,1869,1840,8,1874,1835,11,0.2,1850.791667,1822.833333,0.1,7.4,False,methyl,3673.6,7.6,0.004
K13,0.1,7.4,No,methyl,1920,1883,10,1907,1866,11,1905,1874,8,0.194,1892.791667,1864.166667,0.1,7.4,False,methyl,3757,7.6,-0.002
K15,0.1,7.4,No,methyl,1858,1824,9,1859,1829,8,1855,1822,9,0.193,1839.458333,1814.833333,0.1,7.4,False,methyl,3654.3,6.7,-0.003
K17,0.1,7.4,No,methyl,1769,1734,10,1778,1749,8,1771,1744,8,0.189,1754.791667,1732.166667,0.1,7.4,False,methyl,3487,6.5,-0.007
K19,0.1,7.4,No,methyl,1843,1807,10,1841,1815,7,1855,1821,9,0.192,1828.458333,1804.166667,0.1,7.4,False,methyl,3632.6,6.7,-0.004
E13,1,7.4,No,methyl,2012,1960,13,1985,1935,13,1976,1929,12,0.201,1968.916667,1930.125,1,7.4,False,methyl,3899,9.9,0.005
E15,1,7.4,No,methyl,1991,1944,12,1968,1929,10,1979,1931,12,0.2,1957.25,1923.458333,1,7.4,False,methyl,3880.7,8.7,0.004
E17,1,7.4,No,methyl,1929,1883,12,1929,1877,14,1920,1868,14,0.203,1903.916667,1864.791667,1,7.4,False,methyl,3768.7,10.4,0.007
E19,1,7.4,No,methyl,2092,2027,16,2080,2034,11,2080,2029,13,0.199,2061.916667,2018.791667,1,7.4,False,methyl,4080.7,10.6,0.003
G13,1,7.4,No,methyl,1931,1879,14,1916,1877,10,1919,1875,12,0.198,1899.916667,1865.791667,1,7.4,False,methyl,3765.7,9.1,0.002
G15,1,7.4,No,methyl,1976,1925,13,1955,1912,11,1971,1919,13,0.199,1945.25,1907.458333,1,7.4,False,methyl,3852.7,9.8,0.003
G17,1,7.4,No,methyl,1976,1932,11,1980,1925,14,1969,1913,14,0.199,1952.916667,1912.125,1,7.4,False,methyl,3865,10.6,0.003
G19,1,7.4,No,methyl,1985,1927,15,1975,1924,13,1974,1926,12,0.201,1955.916667,1914.458333,1,7.4,False,methyl,3870.4,10.7,0.005
A14,0,7.4,No,new,4645,4473,19,4659,4496,18,4694,4522,19,0.296,4648.291667,4486.666667,0,7.4,False,new,9135,17.7,0.009
A16,0,7.4,No,new,4244,4070,21,4280,4121,19,4303,4151,18,0.298,4257.958333,4103.666667,0,7.4,False,new,8361.6,18.5,0.011
A18,0,7.4,No,new,4281,4124,19,4305,4164,17,4322,4172,18,0.294,4284.958333,4143,0,7.4,False,new,8428,16.8,0.007
A20,0,7.4,No,new,4316,4157,19,4343,4191,18,4330,4183,17,0.295,4311.958333,4166.666667,0,7.4,False,new,8478.6,17.1,0.008
C14,0,7.4,No,new,4541,4372,19,4501,4326,20,4503,4334,19,0.286,4497.291667,4333.666667,0,7.4,False,new,8831,18.5,-0.001
