Plate ID,Plate Position,Sample name,Sample group,Pump,Concentration (mg/ml),E1%,A280,A260/A280,Background Wvl. (nm),Background (A340),Plate type
Plate 1,A1,sample_A1,Sample Group,0,0.14,10.00,0.14,1.28,340,0.17,High Lunatic Plate
Plate 1,B1,sample_B1,Sample Group,0,0.81,10.00,0.81,1.28,340,0.94,High Lunatic Plate
Plate 1,C1,sample_C1,Sample Group,0,0.81,10.00,0.81,1.17,340,0.57,High Lunatic Plate
Plate 1,D1,sample_D1,Sample Group,0,0.98,10.00,0.98,1.25,340,1.16,High Lunatic Plate
Plate 1,E1,sample_E1,Sample Group,0,0.82,10.00,0.82,1.26,340,1.02,High Lunatic Plate
Plate 1,F1,sample_F1,Sample Group,1,1.37,10.00,1.37,1.26,340,1.53,High Lunatic Plate
Plate 1,G1,sample_G1,Sample Group,0,1.24,10.00,1.24,1.25,340,1.39,High Lunatic Plate
Plate 1,H1,sample_H1,Sample Group,0,0.95,10.00,0.95,1.27,340,1.26,High Lunatic Plate
Plate 1,A2,sample_A2,Sample Group,0,1.09,10.00,1.09,1.31,340,1.18,High Lunatic Plate
Plate 1,B2,sample_B2,Sample Group,0,0.95,10.00,0.95,1.28,340,1.10,High Lunatic Plate
Plate 1,C2,sample_C2,Sample Group,0,0.72,10.00,0.72,1.13,340,0.46,High Lunatic Plate
Plate 1,D2,sample_D2,Sample Group,1,0.77,10.00,0.77,1.28,340,0.97,High Lunatic Plate
Plate 1,E2,sample_E2,Sample Group,0,1.01,10.00,1.01,1.26,340,1.27,High Lunatic Plate
Plate 1,F2,sample_F2,Sample Group,1,0.77,10.00,0.77,1.23,340,1.05,High Lunatic Plate
Plate 1,G2,sample_G2,Sample Group,1,0.64,10.00,0.64,1.26,340,0.82,High Lunatic Plate
Plate 1,H2,sample_H2,Sample Group,0,1.30,10.00,1.30,1.25,340,1.41,High Lunatic Plate
Plate 1,A3,sample_A3,Sample Group,0,0.81,10.00,0.81,1.26,340,1.03,High Lunatic Plate
Plate 1,B3,sample_B3,Sample Group,0,1.01,10.00,1.01,1.26,340,1.32,High Lunatic Plate
Plate 1,C3,sample_C3,Sample Group,0,0.86,10.00,0.86,1.29,340,0.95,High Lunatic Plate
Plate 1,D3,sample_D3,Sample Group,0,0.66,10.00,0.66,1.27,340,0.82,High Lunatic Plate
Plate 1,E3,sample_E3,Sample Group,1,1.14,10.00,1.14,1.27,340,1.36,High Lunatic Plate
Plate 1,F3,sample_F3,Sample Group,0,0.81,10.00,0.81,1.21,340,1.11,High Lunatic Plate
Plate 1,G3,sample_G3,Sample Group,0,0.81,10.00,0.81,1.24,340,1.09,High Lunatic Plate
Plate 1,H3,sample_H3,Sample Group,1,1.32,10.00,1.32,1.29,340,1.36,High Lunatic Plate
Plate 1,A4,sample_A4,Sample Group,0,0.51,10.00,0.51,1.28,340,0.66,High Lunatic Plate
Plate 1,B4,sample_B4,Sample Group,0,0.67,10.00,0.67,1.26,340,0.81,High Lunatic Plate
Plate 1,C4,sample_C4,Sample Group,0,0.98,10.00,0.98,1.28,340,1.12,High Lunatic Plate
Plate 1,D4,sample_D4,Sample Group,0,1.24,10.00,1.24,1.29,340,1.22,High Lunatic Plate
Plate 1,E4,sample_E4,Sample Group,0,1.53,10.00,1.53,1.26,340,1.83,High Lunatic Plate
Plate 1,F4,sample_F4,Sample Group,0,1.42,10.00,1.42,1.24,340,1.63,High Lunatic Plate
Plate 1,G4,sample_G4,Sample Group,1,1.57,10.00,1.57,1.26,340,1.77,High Lunatic Plate
Plate 1,H4,sample_H4,Sample Group,1,1.25,10.00,1.25,1.27,340,1.42,High Lunatic Plate
Plate 1,A5,sample_A5,Sample Group,0,0.68,10.00,0.68,1.29,340,0.86,High Lunatic Plate
Plate 1,B5,sample_B5,Sample Group,0,1.19,10.00,1.19,1.28,340,1.41,High Lunatic Plate
Plate 1,C5,sample_C5,Sample Group,0,1.32,10.00,1.32,1.29,340,1.42,High Lunatic Plate
Plate 1,D5,sample_D5,Sample Group,0,1.20,10.00,1.20,1.29,340,1.18,High Lunatic Plate
Plate 1,E5,sample_E5,Sample Group,0,1.13,10.00,1.13,1.26,340,1.36,High Lunatic Plate
Plate 1,F5,sample_F5,Sample Group,0,1.38,10.00,1.38,1.27,340,1.55,High Lunatic Plate
Plate 1,G5,sample_G5,Sample Group,0,1.31,10.00,1.31,1.26,340,1.43,High Lunatic Plate
Plate 1,H5,sample_H5,Sample Group,0,0.81,10.00,0.81,1.26,340,1.00,High Lunatic Plate
Plate 1,A6,sample_A6,Sample Group,1,0.26,10.00,0.26,1.36,340,0.32,High Lunatic Plate
Plate 1,B6,sample_B6,Sample Group,0,0.99,10.00,0.99,1.29,340,1.11,High Lunatic Plate
Plate 1,C6,sample_C6,Sample Group,0,1.41,10.00,1.41,1.29,340,1.59,High Lunatic Plate
Plate 1,D6,sample_D6,Sample Group,0,1.18,10.00,1.18,1.29,340,1.37,High Lunatic Plate
Plate 1,E6,sample_E6,Sample Group,0,0.93,10.00,0.93,1.26,340,1.05,High Lunatic Plate
Plate 1,F6,sample_F6,Sample Group,1,1.13,10.00,1.13,1.27,340,1.38,High Lunatic Plate
Plate 1,G6,sample_G6,Sample Group,0,1.29,10.00,1.29,1.26,340,1.55,High Lunatic Plate
Plate 1,H6,sample_H6,Sample Group,0,1.26,10.00,1.26,1.24,340,1.58,High Lunatic Plate
Plate 1,A7,sample_A7,Sample Group,0,0.68,10.00,0.68,1.29,340,0.77,High Lunatic Plate
Plate 1,B7,sample_B7,Sample Group,0,0.74,10.00,0.74,1.27,340,0.92,High Lunatic Plate
Plate 1,C7,sample_C7,Sample Group,1,1.14,10.00,1.14,1.28,340,1.45,High Lunatic Plate
Plate 1,D7,sample_D7,Sample Group,0,1.27,10.00,1.27,1.28,340,1.50,High Lunatic Plate
Plate 1,E7,sample_E7,Sample Group,0,0.77,10.00,0.77,1.14,340,0.51,High Lunatic Plate
Plate 1,F7,sample_F7,Sample Group,0,1.09,10.00,1.09,1.24,340,1.40,High Lunatic Plate
Plate 1,G7,sample_G7,Sample Group,1,1.57,10.00,1.57,1.26,340,1.93,High Lunatic Plate
Plate 1,H7,sample_H7,Sample Group,0,2.55,10.00,2.55,1.26,340,2.40,High Lunatic Plate
Plate 1,A8,sample_A8,Sample Group,0,0.95,10.00,0.95,1.28,340,1.10,High Lunatic Plate
Plate 1,B8,sample_B8,Sample Group,1,0.36,10.00,0.36,1.27,340,0.41,High Lunatic Plate
Plate 1,C8,sample_C8,Sample Group,0,1.13,10.00,1.13,1.27,340,1.46,High Lunatic Plate
Plate 1,D8,sample_D8,Sample Group,0,0.87,10.00,0.87,1.26,340,1.09,High Lunatic Plate
Plate 1,E8,sample_E8,Sample Group,0,1.26,10.00,1.26,1.18,340,0.91,High Lunatic Plate
Plate 1,F8,sample_F8,Sample Group,0,2.36,10.00,2.36,1.28,340,2.40,High Lunatic Plate
Plate 1,G8,sample_G8,Sample Group,0,1.16,10.00,1.16,1.23,340,1.46,High Lunatic Plate
Plate 1,H8,sample_H8,Sample Group,0,1.20,10.00,1.20,1.23,340,1.41,High Lunatic Plate
Plate 1,A9,sample_A9,Sample Group,0,0.50,10.00,0.50,1.29,340,0.64,High Lunatic Plate
Plate 1,B9,sample_B9,Sample Group,0,0.77,10.00,0.77,1.30,340,0.89,High Lunatic Plate
Plate 1,C9,sample_C9,Sample Group,0,0.68,10.00,0.68,1.25,340,0.92,High Lunatic Plate
Plate 1,D9,sample_D9,Sample Group,0,1.01,10.00,1.01,1.26,340,1.32,High Lunatic Plate
Plate 1,E9,sample_E9,Sample Group,0,1.30,10.00,1.30,1.30,340,1.49,High Lunatic Plate
Plate 1,A10,sample_A10,Sample Group,1,0.43,10.00,0.43,1.32,340,0.53,High Lunatic Plate
Plate 1,B10,sample_B10,Sample Group,0,1.11,10.00,1.11,1.31,340,1.28,High Lunatic Plate
Plate 1,C10,sample_C10,Sample Group,1,0.58,10.00,0.58,1.30,340,0.76,High Lunatic Plate
Plate 1,D10,sample_D10,Sample Group,0,1.35,10.00,1.35,1.28,340,1.61,High Lunatic Plate
Plate 1,E10,sample_E10,Sample Group,0,1.40,10.00,1.40,1.31,340,1.68,High Lunatic Plate
Plate 1,A11,sample_A11,Sample Group,0,1.01,10.00,1.01,1.30,340,0.95,High Lunatic Plate
Plate 1,B11,sample_B11,Sample Group,0,1.23,10.00,1.23,1.29,340,1.45,High Lunatic Plate
Plate 1,C11,sample_C11,Sample Group,0,1.11,10.00,1.11,1.28,340,1.26,High Lunatic Plate
Plate 1,D11,sample_D11,Sample Group,0,1.29,10.00,1.29,1.28,340,1.49,High Lunatic Plate
Plate 1,E11,sample_E11,Sample Group,1,1.51,10.00,1.51,1.27,340,2.00,High Lunatic Plate
Plate 1,A12,sample_A12,Sample Group,0,1.36,10.00,1.36,1.32,340,1.43,High Lunatic Plate
Plate 1,B12,sample_B12,Sample Group,0,0.87,10.00,0.87,1.29,340,0.92,High Lunatic Plate
Plate 1,C12,sample_C12,Sample Group,1,1.64,10.00,1.64,1.26,340,2.15,High Lunatic Plate
Plate 1,D12,sample_D12,Sample Group,1,1.79,10.00,1.79,1.26,340,2.06,High Lunatic Plate
Plate 1,E12,sample_E12,Sample Group,0,1.71,10.00,1.71,1.30,340,1.73,High Lunatic Plate
